City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,klyuchi,52.2667,79.1667,-9.81,89,7,2.54,RU,1732724974
1,rouyn-noranda,48.2398,-79.0288,-2.95,86,100,3.6,CA,1732724976
2,jixi,45.3,130.9667,-15.39,97,38,1.29,CN,1732724977
3,albany,42.6001,-73.9662,6.86,59,70,3.13,US,1732724418
4,abbadia san salvatore,42.8821,11.6695,11.29,88,100,1.01,IT,1732724980
5,flin flon,54.7682,-101.865,-14.09,92,100,2.57,CA,1732724981
6,port-aux-francais,-49.35,70.2167,3.71,80,99,10.47,TF,1732724982
7,creel,27.75,-107.6333,14.88,19,99,2.94,MX,1732724983
8,kodiak,57.79,-152.4072,-2.27,74,0,2.57,US,1732724984
9,iqaluit,63.7506,-68.5145,-13.15,72,100,3.6,CA,1732724960
10,palmas,-10.2128,-48.3603,30.93,70,75,3.6,BR,1732724757
11,ushuaia,-54.8,-68.3,9.81,62,0,5.66,AR,1732724988
12,enewetak,11.3474,162.3373,27.95,83,90,9.45,MH,1732724989
13,urengoy,65.9667,78.3667,1.83,89,100,9.96,RU,1732724990
14,fruitland,38.3221,-75.6202,11.66,55,0,2.57,US,1732724991
15,talovskiy,51.1144,40.73,0.34,78,100,1.24,RU,1732724992
16,puerto natales,-51.7236,-72.4875,18.25,42,0,4.12,CL,1732724993
17,holualoa,19.6228,-155.9522,20.48,70,0,2.06,US,1732724995
18,luena,-11.7833,19.9167,19.16,94,100,2.54,AO,1732724996
19,al jawf,29.5,38.75,11.01,39,0,3.23,SA,1732724997
20,manggar,-2.8833,108.2667,24.87,91,100,2.04,ID,1732724998
21,hermanus,-34.4187,19.2345,16.56,70,87,5.56,ZA,1732724999
22,carnarvon,-24.8667,113.6333,27.01,48,0,2.24,AU,1732725000
23,buriti dos lopes,-3.175,-41.8669,38.51,24,98,5.82,BR,1732725001
24,dudinka,69.4058,86.1778,0.37,97,100,11.37,RU,1732725003
25,chiredzi,-21.05,31.6667,30.99,42,67,4.37,ZW,1732725004
26,puerto ayora,-0.7393,-90.3518,21.42,98,92,3.58,EC,1732725005
27,labrador city,52.9463,-66.9114,-2.05,97,100,3.6,CA,1732725006
28,bethel,41.3712,-73.414,9.18,59,0,3.09,US,1732724829
29,prainha,-1.8,-53.48,35.55,32,62,3.64,BR,1732725008
30,loch garman,52.3342,-6.4575,6.61,96,60,2.24,IE,1732724770
31,bredasdorp,-34.5322,20.0403,16.66,71,82,5.37,ZA,1732725011
32,port mathurin,-19.6833,63.4167,24.87,75,31,11.02,MU,1732725012
33,lebu,-37.6167,-73.65,14.8,60,5,4.54,CL,1732725013
34,hamilton,39.1834,-84.5333,8.21,69,100,4.63,US,1732724849
35,udachny,66.4167,112.4,-20.13,99,51,2.88,RU,1732725015
36,huadian,42.9633,126.7478,-8.21,88,100,5.76,CN,1732725017
37,ugoofaaru,5.6667,73.0,27.28,78,94,3.5,MV,1732725018
38,merta,26.65,74.0333,19.92,31,0,2.28,IN,1732725019
39,fisterra,42.9049,-9.2629,15.35,82,86,8.94,ES,1732725020
40,mundri,-6.9558,111.71,26.31,85,100,0.96,ID,1732725022
41,talnakh,69.4865,88.3972,-0.56,98,100,6.86,RU,1732725023
42,colares,38.7992,-9.4469,18.27,58,0,2.57,PT,1732725024
43,motueka,-41.1333,173.0167,14.5,84,7,1.48,NZ,1732725025
44,kerikeri,-35.2268,173.9474,12.73,90,17,1.53,NZ,1732725026
45,stanley,54.868,-1.6985,3.06,91,20,2.57,GB,1732725027
46,howard springs,-12.497,131.047,26.95,95,99,1.21,AU,1732725029
47,edinburgh of the seven seas,-37.0676,-12.3116,14.86,81,9,10.47,SH,1732725030
48,blackmans bay,-43.0167,147.3167,12.07,96,100,5.87,AU,1732725031
49,ta`u,-14.2336,-169.5144,27.66,80,93,6.73,AS,1732725032
50,waitangi,-43.9535,-176.5597,11.44,73,38,2.53,NZ,1732725033
51,sitka,57.0531,-135.33,2.94,87,75,3.6,US,1732725005
52,papatowai,-46.5619,169.4708,18.43,54,100,4.51,NZ,1732725036
53,bikenibeu village,1.3673,173.1241,28.98,74,20,5.66,KI,1732725037
54,altai,46.3722,96.2583,-10.17,53,7,1.48,MN,1732725038
55,coquimbo,-29.9533,-71.3436,18.85,63,0,6.69,CL,1732724991
56,anadyr,64.75,177.4833,-2.72,86,100,5.0,RU,1732725040
57,atafu village,-8.5421,-172.5159,28.48,69,49,5.32,TK,1732725042
58,papao,-17.75,-149.55,25.82,75,94,5.93,PF,1732725043
59,grytviken,-54.2811,-36.5092,1.44,67,38,3.05,GS,1732725044
60,ribeira grande,38.5167,-28.7,19.22,63,40,10.8,PT,1732725046
61,laoag,18.1989,120.5936,25.35,85,94,8.82,PH,1732725047
62,isafjordur,66.0755,-23.124,0.02,64,75,10.29,IS,1732725049
63,colonia,50.9333,6.95,12.85,78,75,9.77,DE,1732724998
64,huarmey,-10.0681,-78.1522,21.75,73,55,3.65,PE,1732725051
65,pangkalpinang,-2.1333,106.1333,23.99,93,100,1.66,ID,1732725052
66,west island,-12.1568,96.8225,27.99,94,96,5.66,CC,1732725053
67,namibe,-15.1961,12.1522,21.92,76,49,4.05,AO,1732725054
68,zhoushan,30.0108,122.2047,9.93,48,0,8.91,CN,1732725056
69,hawaiian paradise park,19.5933,-154.9731,21.05,77,20,2.57,US,1732725057
70,avarua,-21.2078,-159.775,23.03,88,100,3.09,CK,1732725058
71,margaret river,-33.95,115.0667,15.37,60,0,5.78,AU,1732724899
72,kismayo,-0.3582,42.5454,27.72,79,28,3.92,SO,1732725060
73,walvis bay,-22.9575,14.5053,21.53,52,0,5.66,NA,1732725062
74,tazacorte,28.629,-17.9293,23.42,78,20,2.06,ES,1732725063
75,visakhapatnam,17.69,83.2093,24.94,57,75,3.6,IN,1732725064
76,rongelap,11.1635,166.8941,28.1,81,78,9.62,MH,1732725065
77,yelan',50.949,43.7378,0.59,85,100,2.41,RU,1732725066
78,nikolayevsk-on-amure,53.1406,140.73,-1.33,96,100,6.04,RU,1732725067
79,tutong,4.8,114.65,26.66,86,72,2.08,BN,1732725069
80,cill airne,52.05,-9.5167,4.03,87,0,1.54,IE,1732725070
81,bhimunipatnam,17.8833,83.4333,24.73,63,100,5.82,IN,1732725071
